상품명,가격
삼성 무풍 에어컨 2in1 + 벽걸이 에어컨 2대,"250,000원"
삼성 냉장칸 고장 폐가전,나눔
이사전급처/ LG 트롬 스타일러 SSBB/압구정갤러리아구매,"220,000원"
LG 퓨리케어 360 Hit AS183HWWA 공기청정기,"250,000원"
"다용도 받침대, 세탁기 수평 받침대, 수평 조절대, 높이 조절대, horizontal stand","12,000원"
히트펌프 전기 의류건조기,"150,000원"
필립스 전기포트,"9,000원"
졸리베이비 헝겊책(정글 꼬리+아기 까꿍+애벌레),"10,000원"
판매완료,중고냉장고 나눔(12월8일만 가능)
중고냉장고 나눔(12월8일만 가능),나눔
HDMI 케이블 MINI 2m 총 8개,"10,000원"
캐리어 벽걸이에어컨,"60,000원"
LG 시네빔 HU80KA 빔프로젝터 팝니다,"1,000,000원"
[새제품] 맥도도 여행용 변환 어댑터 2포트 멀티 충전기,"16,000원"
수정)백라이트나간 LG65인치 TV 드립니다,나눔
드리미 H12s 무선 물걸레청소기 팝니다.,"150,000원"
퀸사이드 침대,"10,000원"
쿠첸 밥솥 3인용,"20,000원"
LG 오브제컬렉션 에어컨 2in1 (스탠드+벽걸이) 상태최상 3월말까지,"1,200,000원"
(새상품) 스타벅스 사이렌 베이지 쿨링백 - 미개봉,"22,000원"
🥕개봉만한 새상품/박스❌🥕에어베리 스마트 룸드라이어 Thin,"70,000원"
판매완료,"오늘만‼️ [정가 187.4만원] ""한샘"" 나비주름 커튼 2종 - 안방(암막,쉬폰), 발코니(쉬폰)"
"오늘만‼️ [정가 187.4만원] ""한샘"" 나비주름 커튼 2종 - 안방(암막,쉬폰), 발코니(쉬폰)","115,000원"
LG전자 올 뉴 스타일러 S5CGRM80H,"1,700,000원"
판매완료,[정가 230만원이상] LG 트롬 건조기 16kg 블랙스테인리스 (RH16KTP)
[정가 230만원이상] LG 트롬 건조기 16kg 블랙스테인리스 (RH16KTP),"400,000원"
(삼성정품)24년 85인치 크리스탈4K 시니어지 TV(BE85C-H),"1,000,000원"
[개봉‘만’한 새상품] 삼성 스마트싱스 스테이션 15W,"57,000원"
판매완료,"[정가 172만원] ""한샘"" 유로503 침대프레임 (퀸/킹) , (살짝저상) + 멀티패널(좌/우)"
"[정가 172만원] ""한샘"" 유로503 침대프레임 (퀸/킹) , (살짝저상) + 멀티패널(좌/우)","500,000원"
[유학파 영어교사 추천] 알파벳 블록+파닉스 단어카드 일괄 세트🔥,"6,000원"
하이메이드 냉장고&lg통돌이 세탁기,"150,000원"
(가격인하)테팔 큐브콤팩트 UT1512K0 스팀다리미,"100,000원"
필터 (1),Objet 고퀄리티 인테리어형 원형 유리 냄비 뚜껑
Objet 고퀄리티 인테리어형 원형 유리 냄비 뚜껑,"3,000원"
200t)맥심 모카골드 아메리카노 블랙커피,"20,000원"
