INDEX,도메인,카테고리,상품명,상품평,데이터구분
2024,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"고등어구이 삼겹구이 닭구이 해먹었는데 200도에 20분정도  뒤집어서 또한번  뒤집기가 구찮고 온도높임 타버려서 먹기 힘드네요. 닭이나 돼지고기나 겉껍질은 둘다 맛이 똑같다 누릿하게 바삭익히면

좀더있다 안뒤집어도 되는거 살걸그랫다 굳이 이제품 아니더라도
 
",쇼핑몰
2025,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"명절 선물로 양가에 하나씩 선물 하려고 
두개를 사서 각각 드렸는데
한 박스에는 레시피북이 아예 빠져서 배송 됏고 
나머지 하나는 에어 프라이기 여는
부분이 매우 빡빡해서 여닫기가 힘든 제품이 왓더라구요! 
깔끔한 디자인과^^ 산뜻한 컬러가 맘에 들어서 선물했는데 
막상 제품 퀄리티는 아쉬웟어요..",쇼핑몰
2026,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"받자마자 색감이 너무이쁘네요 아직사용전이지만 많이사는데에는
그만큼이유가있다고 생각하며 성능도좋길바래요^^
근데 상품평에 마감이 매끄럽지않다는 글이종종잇엇는데
그런부분이 제가받은 제품에도 그러네요ㅠ
아무래도 모든제품이 매끄럽게 마감처리가된거같지는않아서
이부분은 정말아쉽네요",쇼핑몰
2027,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"받자마자 통삼겹살 구워 먹었어요~ 넘 맛있어요
기름 쪽빼고 겉은 바삭. 속은 촉촉~ 
짱 이네요~ 
아들이 저녁에와서 에어프라이 생각했대요
갑자기 집와서 보고선 깜짝 놀라며 좋아서 어쩔줄 모르네요~
나중에 통치킨도 구워먹을려구요~
넘 잘산것 같아요~
근데 단점이라면 연기가 나요 통삼겹살에 후추를 너많이 뿌렷는지 냄새와 연기가 집안에 덥쳐서 빼느라 혼났네요~
냄새는 빨아드리지는 않은것 같아요
참고 하세요~",쇼핑몰
2028,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"배송은 빨라요.
외관은 걍 포기하고 받아야할듯하네요.
여러곳에 찍힘과 기스 사상이 덜된부위등으로
교환받았는데 의미가없네요. 상품자체가 원래 이런가봐요
블랙이라 티가 너많이 나는것같네요. 색깔도 비추네요
구매하실분들은 이점 참고하고 구입해야할듯요",쇼핑몰
2029,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"상품 보낼때 확인 안하나요? 상품 모서리가 깨져서 왔네요. 반품절차도 번거롭고 제대로된 상품을 확인후 보내야 하는거 아닌가요? 너무 기분 나쁘네요
귀찮아서 그냥 쓸까하다 너무 기분나빠서 반품 합니다 상담원은 전화 준다고 하고 전화도 안하고 하루종일 이것때문에 신경쓰게 하고 너무 기분 나쁘네요
생각해보니 가격도 타사 제품에비해 너무 비싼거 아닌가요?",쇼핑몰
2030,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"생선구이할려고 주문했는데 생각보다 커서 어디다 둬야할지 고민됐지만 요리해먹으니 웬걸..넘흐 좋으네요.
종이호일깔고하니 뒷처리도 쉽고..
단..바스켓과 본통이 손잡이를 잡고 들면 끝부분이 살짝 들려서 본체끼울때 약간 덜그덕 거리게되네요.",쇼핑몰
2031,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"세련된 디자인과 ^^ 예쁜 민트칼라가 주방을 환하게 만들었어요
고구마를 200도에서 30분 구었는데 넘 맛있는 군고구마가 되었어요 그리고 떡국떡을 간식으로 구웠는데 빵빵하게 부풀어서 노릇노릇 구워져 바삭한 식감으로 남편도 넘 좋아하네요
앞으로 다양한 요리를 시도해 봐야겠어요",쇼핑몰
2032,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"오늘 받아서 좀전에 개봉했는데..
일단 사이즈는 겁나 커서 사용하긴 좋을듯한데
제품 마감 상태가 정말 거시기하네요..
하단 부분이 여기저기 눌려있고 이상해서
필름이 붙어있나해서 보니 그냥 표면 상태가 안좋은거더군요..
저렴한 가격이라 그러려니 하고싶지만
마감과 제품 상태에 좀더 신경을 쓰면 좋겠습니다~",쇼핑몰
2033,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"용량도 적당하니 좋아요 아이들 간식비 많이 절감되네요
사용도 편해서 만족합니다",쇼핑몰
2034,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,저렴하게 구입했지만 용량 대지 어마어마한 사이즈... 30리터짜리 쓰레기통하고 거의 비슷한 부피로 보여요. 사용은 안해봤지만 저렴하다고 대충 만든 제품을 구입한 기분이 들고. 반품되었던 건지 안에 설명서는 다 축축해져서 왔어요. 비도 내린 적 없는데...,쇼핑몰
2035,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"좋아요~ 빠른 배송 감사합니다. 마음에 들어요
사용전이지만 이뻐서 마음에 들어요^^
받자마자 색감이 너무이쁘네요 아직사용전이지만 많이사는데에는
그만큼이유가있다고 생각하며 성능도좋길바래요^^
근데 상품평에 마감이 매끄럽지않다는 글이종종잇엇는데
그런부분이 제가받은 제품에도 그러네요ㅠ
아무래도 모든제품이 매끄럽게 마감처리가된거같지는않아서
이부분은 정말아쉽네요
",쇼핑몰
2036,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"집에 가전제품이 너무많이
고민고민하다 구입했어요 
맛벌이라 집에 들어오면
너무 힘들어 간단한
냉동제품을 자주 이용하고 있어
에어프라이어를 구입했어요 
처음 사용해 보니 
편리하게 조리가 가능해서 좋아요
무엇보다 맛이 완전 좋아요 기능 굳굳입니다
만족스럽게 사용하고 있어요",쇼핑몰
2037,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"집에있는 OOO포트, 토스터기와 세트로 맞추려고 구입했어요 살짝 색상차이있지만 괜찮네요 에어프라이어 기능은 다 같을 것이고 디자인이 이뻐서 샀네요 간단히 아이들 간식하주기 편하고 좋아요 하지만 크기는 조금 작은것도같고 그래요 안에 바스켓 코팅이 약해보여서 조심히 써야할것같아요",쇼핑몰
2038,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"크기는 전기밥솥만 하고 에어프라이어 굽기 성능 좋아요^^ 디자인도 이뻐요 굳굳
타이머 돌리면 재깍재깍 소리나는데 신경쓰일정도는 아닙니다~
실제 방송했을때는 겹쳐서 쌓아놓고 조리해도 다 익은거 처럼 보이지만 실제로는 뒤집어줄 필요가 있고 바닥에 깔아서 조리해도 한번은 뒤집어 주는게 훨씬 맛있게 됩니다 
3.5리터 냉동윙 깔면 10개정도 들어갑니다.
",쇼핑몰
2039,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"통돌이 샀는데 맛없게 되고   집에 있는 오븐은 청소 하기 힘들어서
바로 에어 프라이어 구매했어요  
강추입니다  냉동식품 너무 맛있어요 소리도 집에 있는  오븐 소리 만 하는데요 이정도 쯤은 굳이에요 삼겹살도 도전할 려구요 
기능도 굿 제일 잘 산 물건이에요 완전 강추요~",쇼핑몰
2040,가전,주방가전,(TV) ○○ 에어프라이어 3.5L E**,"홈쇼핑에서 몇번 보다가 비싸서 고민하다가 방송 중 10프로 할인에 추가 10프로 더 할인 받아서 7만원 초반대로 저렴하게 구매했네요
베이지 품절이라 민트 구매했는데 예뻐요
오늘 첫개시로 고구마 구워 먹는데 찜기보다 더 맛있는듯..
앞으로 아기 간식은 문제 없을듯 하구요 
너무 좋아요",쇼핑몰
2041,가전,주방가전,(TV)○○ T** 에어프라이어,"ㅇㅇ홈쇼핑 체널을 보고 예전부터 알고 있었든 에어프라이어 좋은건 알았
지만 가격이 맞지않아 보고만 지나쳤는데 저렴한가격에 디자인도 예뻐서 이번에 구입하여 통닭이랑 냉동가래떡, 만두를 해먹어 보았는데 겉은바삭바삭 속은 촉촉한게 최고였어요
에어프라이어 때문에 요리가 즐거웠어요 
아무거나 쉽고 편하고 간단하게 할수있어서 넘 좋았습니다
마니 마니 이용할듯합니다",쇼핑몰
2042,가전,주방가전,(TV)○○ T** 에어프라이어,"고민고민하다 안사고있었는데 홈쇼핑보다가 
가격도저렴하고해서 샀는데 대만족이에요.
만두.삼겹살.너겟.돈가쓰 다해먹어요ㅋㅋ
친정하나 시댁하나두 사드렸네요.
전골드샀는데 사드릴땐 실버밖에없어서~~ㅋ
여특 세척도편하고 정말잘산것같아요^^",쇼핑몰
2043,가전,주방가전,(TV)○○ T** 에어프라이어,"고민하다실버구입. 와우 생각보다덩치가크네요
에어프라이어크기로는 작은거라는데~~
기름기쫙빼주고 요즘여기저기 난리더라구요
만두부터 구워먹었어요.  구입잘했다생각^^
이제부터 하나씩해먹을일만 남았네요~
가격좋고 건강에좋고 하나쯤은소장가치good!",쇼핑몰
2044,가전,주방가전,(TV)○○ T** 에어프라이어,"상품 도착후 마트 생감자칲을 구매,식용유 약간 두런후 가열해보니
치킨집에서 주는 감자칲과 같이 노릇노릇 잘 굽혀져 나옴..
생선 구이는 잘 않되는듯.....
다른 치킨넛은 바싹하게 잘됨.일단 닭날개,다리,봉 구매후 사용해
볼 계획임.
상품평은 그런대로 우수함.",쇼핑몰
2045,가전,주방가전,(TV)○○ T** 에어프라이어,"에어프라이어 다들 많이 사용하기도하고 편함을 익히들어서 뭘 살까 고민하던중 홈쇼핑  보자마자 바로 샀어요. 큰거 살까 작은거 살까  고민도 했는데 3인가족이라 걍 작은거 했네요.
막상 쓰니 작아서 살짝 아쉽긴하지만 소소하게 잘 쓸것같아요.
옥수수넣어 구워먹고 삼겹살 구워먹구.
기름 치우기 귀찮아서 간단한건 밑에 호일까니까 설거지거리도 줄어드네요.
잘 쓸게요",쇼핑몰
2046,가전,주방가전,(TV)○○ T** 에어프라이어,"현재 잘 사용하고 있어요~ 
닭 한마리 손질해서 먹어봤는데 오븐에 구운 것처럼 맛있습니다. 아쉬운점은 양을 많이 못 넣는 것과 한번씩 뒤적거려 줘야된다는점입니다. 닭똥집도 했는데 온도조절이 어렵네요..실패했어요ㅠ 딱딱..그래도 맛있게 먹었네요~
",쇼핑몰
2047,가전,주방가전,(TV)오** 쁘띠 멀티포트 1+1,"두개 받아서 하난 엄마 주고 하난 제가 쓰는데 일단 달걀 삶기 진짜 편하구요 냉동밥 데울 때 전자렌지 안 쓰고 여기 삶기용 플라스틱 판 위에 그릇 놓고 데우니 밥이 바로 한 것 같이 촉촉~ 맛있어요 깜빡 까먹고 물 다 끓어버려 다타고 망가진 줄 안 적 있었는데 자동 전기 차단, 식초물에 놔뒀다 씻었더니 깜쪽같이 탄 자국 사라지구요  전 1달 전 구입했는데 계속 잘 사용중입니다^-^",쇼핑몰
2048,가전,주방가전,(TV_5만세일)○○ 델** 그릴,"디자인이 심플해서 좋아요
눌러붙지않는 소재라서 좋아요",쇼핑몰
2049,가전,주방가전,(TV_5만세일)○○ 델** 그릴,"배송은 총알배송이네요.
먼저 그릴도 OOO이었는데 넘 오래되서 바꿨어요.
그릴은 연기가 약간나지만 예열시간이 조금 오래걸리는건 빼고 맛있게 구워지고요. 전골팬은 왜 가운데부분이 더 올라온건지 일부러그런건지 곱창볶음해먹는데 약간 쏠리네요. 다리가 높아서 상위에서 구워먹기엔 좀 높은감이 있네요. 가방이 포함된구성이었음 더 좋았을것같네요.",쇼핑몰
2050,가전,주방가전,(TV_5만세일)○○ 델** 그릴,"여러종류의 그릴(?),고기불판을 두루 섭렵해본 사람으로써,드뎌 인생템을 찾은것같습니다.OOO 코팅은 설명이 필요없고,약간 기울어진 불판의 기름구로 고기기름도 잘 빠져 기름튐이 확실히 적습니다.물론 연기나 냄새까진 어쩔수 없어요.무엇보다 뒷처리가 간편하다는게 가장 맘에 듭니다.불판과 기름받이통만 씻으면 되니까요.전골팬은 아직 사용전이지만,잘사용해질것같습니다.",쇼핑몰
2051,가전,주방가전,(TV_5만세일)○○ 델** 그릴,디자인 이쁘고 편리하네요 집에서 아이들과 식탁에 올려놓고 사용했는데 너무좋아요,쇼핑몰
2052,가전,주방가전,(TV_5만세일)○○ 델** 그릴,"이전 ㅇㅇㅇ 전기그릴 사용과 비교해서 기능이 좋아졌네요
전 모델은 아래칸에 물을 넣어야 했는데 센서가 민감해서 높이가 좀 안맞으면 꺼지고 그랬거든요 ㅋ 구워먹다가 물도 채워줘야 하고요
이번 그릴은 기름이 한곳으로 모이는 구조로 되어 있어서 물 에서 해방되네요 ㅎㅎㅎ 디자인도 이쁘구요 
보관가방이 없는게 쪼금 아쉽지만 이전에 쓰던 가방 쓰면 되니까 괜찮습니다",쇼핑몰
2053,가전,주방가전,(TV_5만세일)○○ 델** 그릴,잘 쓰고 있지만 한번 써 보고 느낀건 구이를 해 먹고 보니 치우려고 그릴판을 들어 보니 코일 부근까지 기름이 흐렀고 기름받이 밑으로 바로 안내려 가네요.. 기름이 코일있는쪽으로도 흐르고 기름받이로도..잘 안 닦아져서 닦아내느라 고생했네요ㅠㅠ 그릴판 잘 맞춰서 사용했는데 이상하게도 뭐가 잘못된건지 모르겠네요..기능성은..갠적으론 그저 그렇네요,쇼핑몰
2054,가전,주방가전,(TV_6만세일_직배송)○○ 델** 그릴,계속해서 구입을 망설이다 방송하자마자 바로 주문했네요~ 배송이 빨라서 좋아요~ 살짝 아쉬운건 제품내용에 나와있는 구성품중 보관백과 미니마늘팬은 안들어있었습니다 당황; 본품이 퀄리티가 좋아 주문했으니 그냥 사용해야겠죠~ 빠른 배송 감사합니다^^,쇼핑몰
2055,가전,주방가전,(TV_6만세일_직배송)○○ 델** 그릴,고기 구워먹기에 좋네요 잘구워는기능 짱짱! 다양한 용도로도 잘 활용하기에 좋습니다 어머니 구매해드림!,쇼핑몰
2056,가전,주방가전,(TV_6만세일_직배송)○○ 델** 그릴,"OOO이라 믿고 샀는데 OOO보다 열전도율 없습니다. 괜찮다는 상품평보면 우리꺼가 불량인가 싶은데... 불이 너무너무 약해서 실망이네요
고기육즙 다 나가서 퍽퍽하고... 귀찮아서 상품평 안 쓰는데 꼭 참고하시라고 글 올립니다. 이런 제품 판매하면 안돼지요. 사용해서 반품도 안됄거고 짜증나고 화가납니다.",쇼핑몰
2057,가전,주방가전,(TV_세일) ○○ 식품건조기 8단 (L**),"배송 빠르고
가격도 가장 저렴해요
김장매트 사은품까지",쇼핑몰
2058,가전,주방가전,(TV_세일) ○○ 식품건조기 8단 (L**),"서울에서 시골로 귀촌한 1인이예요..
작년에 텃밭에 고추를 심었는데 말리는 과정에서 다 상해 버렸다고 했더니 
지인이 ○○○을 추천하네요..
지인이 사용해보니 너무 편리하고 품질이 좋다고 해서 저도 주문했어요..
사용한 사람이 좋다고 하니 좋겠지요??
저도 사용해보니 너무 편리해서 좋아요
품질도 짱짱하구요 굿",쇼핑몰
2059,가전,주방가전,(TV_직)베** THE 건강한 에**프라이어,"자라나는 아이 간식해줄때,
신랑 술안주~~에 필요한것 같아서.. 
근데 가격이 대박이에요
신랑이 방송 보더니,
저보고 사라고.. 주문해라고~~~

친정 다녀온 사이..
벌써 해 드신 모양.. 
바삭하게 잘되서 좋아하네요

자주 사용해서 간식용 만들어줄때 저도 기뻤으면 하네요",쇼핑몰
2060,가전,주방가전,(TV_직택배) ○○ 디** 만능요리팬 (점보그릴) L**,"너무 크지도 않고 4인 가족이 둘러앉아 음식해먹기 딱 좋은 사이즈의 팬이예요. 레드색이 계절에 맞게 잘 어울리네요. 
두루두루 잘 사용할 것 같아요 뚜껑에 코팅이 매끄럽자않고 홀 부분이 날카로워서 손 다칠 것 같은 위험성이 있어서 아쉽지만, 교환 반품하기 번거로워 그냥 쓰려고 합니다. 번창하세요 ^^",쇼핑몰
2061,가전,주방가전,(TV_특)OO  T** 에어프라이어,방송에 나온 삼겹살 요리 해먹었어요. 고기를 통째로 넣으니 정말 편하고 기름도 튀지 않아좋은데요. 펜이 없어서 식히는데 시간이 걸리고 한번에 고기를 다 할수가 없으니 나눠 넣었는데 두 번째에서는 연기가 엄청나서 통도 닦고 위에 열선도 닦고 한 번 할때마다 계속 닦아야 되는건지.. 다음엔 고구마랑 너겟 그리고 떡 해보려구요. 설명서에 요리 종류가 적어요.,쇼핑몰
2062,가전,주방가전,(TV_특)OO  T** 에어프라이어,에어프라이 저렴한 가격억 디자인도 마음에 들고 좋아요.,쇼핑몰
2063,가전,주방가전,(TV_특)송**의 우리집방앗간 홈** 2세대 ,"이거 물건입니다
콩삶아 넣으니 그냥 쉽게갈아지고
성가셔서 자주못해먹던 감자전
짱잘됩니다
적당히 잘라 넣으니 감자가너무쉽게
갈려 쏟아지듯나옵니다
식탁옆에 모셔두고 자주사용하고있습니다
좋은제품 감사합니다
약간의소음은 좀~~흠",쇼핑몰
2064,가전,주방가전,(TV_특약)오** 쁘띠 멀티포트 1+1,"작은사이즈가 참좋아요...실용성에서도 괘않고요
근데 버튼이넘 빡빡해요......돌리다 부러지는줄.....ㅠㅜ
거기에 택배기사님 오배송으로 전화로 싸우다시피하고.....내돈주고산물건을 기분상해서.......",쇼핑몰
2065,가전,주방가전,(TV_특약)오** 쁘띠 멀티포트 1+1,한번 쓰고 고장났어요~ 물을 끓이는데 깜빡하고 보니 물은 없고 바닥이 살짝 탔어요~~ 그리고 전기는 안들어와서 상담했는데 안된다고 하니 버려야 될것 같네요 내용물이 없으면 자동으로꺼지는 장치가 없었나봐요~~부주의하다가는화재 위험도 있을것 같네요~~,쇼핑몰
2066,가전,주방가전,(알파데이_방송중_위)○○_음식물 처리기 ,"디자인이예쁘고
가격대비품질도만족합니다",쇼핑몰
2067,가전,주방가전,(알파데이_방송중_위)○○_음식물 처리기 ,"사용하니깐 편해요 냄새도 없고 좋아요, 소음도없어요 조용해서 좋네요
부피는조금 큰거같아요 ;;;;",쇼핑몰
2068,가전,주방가전,(알파데이_방송중_위)○○_음식물 처리기 ,소음도 적고 마음에들어요 보관기능 참좋구요 근대부피가 생각했던거보다 좀큽니다,쇼핑몰
2069,가전,주방가전,(알파데이_방송중_위)○○_음식물 처리기 ,"어머님 쓰신다고 사셨는데 
와 이거 품질이 진짜 너무 좋은데요!!!

어머님이 이동네 저동네 다 소문내셨어요 
작동이 너무 편하다고.
돌아가는 소리도 안나고 ^^
음식물쓰레기 봉투 들고 안돌아다녀도 된다고 
너무 좋다고 하세요. 
생활을 업 해주는 최고의 상품입니다",쇼핑몰
2070,가전,주방가전,K_○○ 네로 1.8L 티메이커 D**,"모양도 예쁘고 기능도 좋아요.
만족 합니다.",쇼핑몰
2071,가전,주방가전,K_○○ 네로 1.8L 티메이커 D**,"상품이 나온지 오래된거라 그런지 재고인것 같은데 제조일 19년 1월.
그런건 상관없는데 마감처리가 전체적으로
진짜 별로네요
차 망도 스텐 벗겨져있고 새상품이 맞는지..?
암튼 그냥 저냥 쓰는데 지장없으니 쓸건데
상품의 품질 자체는 그닥입니다 새상품이 새거 느낌이 안나니..",쇼핑몰
2072,가전,주방가전,알** 블랙홀 대용량 믹서기,"대용량 믹서기이다보니 제품이 튼튼해야하는데 ○○○ 믹서기는 본체가 무게감이 있어서 든든하게 중심을 잘 잡아주네요! 그래서 많이 넣고 돌려도 안심이 되고 잘 갈리기도 하네요! 
스텐컵이 더 튼튼하고 좋네요
다음에 부모님 하나 선물해드릴려구요~",쇼핑몰
2073,가전,주방가전,알** 블랙홀 대용량 믹서기,"믹서기를 평소에 많이 접해보지 않아서 잘 몰라서 후기믿고 구매했는데요
성능좋고 컨테이너 두개라서 좋고 용량커서 좋고 안정감있고^^ 소음도 적당해서 좋고
과일같은거는 순식간에 갈려요 1분도 안걸립니다
토마토 갈아봤는데 목넘길때 걸리는거없이 부드럽게 넘어가요
콩불려서 비지찌개 해먹어봐야겠어요ㅎ 기대됩니다",쇼핑몰
2074,가전,주방가전,알** 블랙홀 대용량 믹서기,요즘 초고속 믹서가 많이 나오고 쓰임도 좋아 하나 장만하고 싶었습니다 그런데 가격이 부담스럽더라구요 그러던중 방송을보고 가격이 좋아서 긴가민가해서 구매했는데 샐러리와 케일 갈리는거보고 성능이 좋아 깜짝 놀랐습니다 시댁에 유명한 초고속믹서기가있는데 그거랑 차이를 모를 정도였어요 다지기 분쇄까지 가능하다니 정말 잘샀다고 생각해요,쇼핑몰
2075,가전,주방가전,OO  멀티다지기 스텐용기+유리용기,가격대비 좋아요. 간단히 사용하기 편합니다.,쇼핑몰
2076,가전,주방가전,OO 드립포트/무선포트/1리터/전기주전자 K**,가성비 짱입니다  ㅋㅋㅋ 시중 일반드립포트보다도 싸게 샀네요. 잘 작동하고^^ 사진 찍어 올리고 싶은데 주변이 너무 잘 비쳐서 못 찍겠네요. 드립포트 처음 쓰시는 분은 강추합니다. 온도계가 없는 건 아쉅지만 가격 생각하면 당연히 감수할 만하죠.,쇼핑몰
